pvalue adj_pvalue weight weighted_pvalue group covariate fold symbol bh
0.665 1 0.385724781771319 1 5 -1.0664215851367 5 ADAMTS18 1
0.791 1 0.0761414942905123 1 7 0.311517982497319 1 ADAMTS19 1
1 1 0.221390839485928 1 8 0.824264717370914 4 ADAMTS2 1
0.479 1 0.0235148833964863 1 2 -3.88565954205515 2 ADAMTS20 1
0.804 1 0.242378328860233 1 8 1.74658106672067 2 ADAMTS3 1
1 1 0.242378328860233 1 8 1.57578981848705 2 ADAMTS4 1
0.813 1 0.0766404183385558 1 7 0.381937383580353 3 ADAMTS5 1
0.281 1 0.00325203937274412 1 6 0.00567058128374542 3 ADAMTS6 1
0.0822 1 0.363558486252013 0.226098421872679 5 -1.17187118882609 1 ADAMTS7 1
0.263 1 0.385724781771319 0.681833297804345 5 -0.597496112963893 5 ADAMTS8 1
0.89 1 0.221390839485928 1 6 0.0908239476945699 4 ADAMTS9 1
0.306 1 0.0284121911228069 1 8 1.49336959361603 3 ADAMTSL1 1
0.346 1 0.385724781771319 0.897012627529672 8 1.79154168847087 5 ADAMTSL2 1
0.791 1 2.78156539953176 0.284372245978165 10 3.25855707571529 1 ADAMTSL3 1
0.285 1 0.0786778673396068 1 6 0.0908239476945699 2 ADAMTSL4 1
1 1 0.212876412581341 1 1 -4.6185396704316 5 ADAMTSL5 1
0.0329 0.984999509952246 0.385724781771319 0.0852939752766653 7 0.213552875332487 5 ADAP1 0.919105263157895
0.166 1 0.385724781771319 0.430358659450652 8 1.77453413622729 5 ADAP2 1
0.157 0.756402127139256 5.91730979646276 0.0265323272568645 11 5.57071569404271 3 ADAR 1
0.694 1 2.78156539953176 0.249499796092095 10 3.73585555471475 1 ADARB1 1
0.748 1 5.91730979646276 0.126408794828883 11 4.83794296416933 3 ADARB2 1
0.139 1 0.221390839485928 0.62784892239787 6 -0.301913443804398 4 ADAT1 1
0.697 1 0.385724781771319 1 5 -1.24087815599026 5 ADAT2 1
0.718 1 0.272729416610176 1 4 -1.44685167592735 3 ADAT3 1
0.39 1 0.363558486252013 1 5 -1.07007120879187 1 ADCK1 1
0.679 1 0 1 3 -2.5712405851906 4 ADCK2 1
0.682 1 0 1 3 -2.71960323057911 4 ADCK5 1
0.109 0.715523117871111 5.1236008176401 0.0212741007505352 11 6.86315376996552 4 ADCY1 1
0.685 1 0.200643126846621 1 1 -5.8814562818157 1 ADCY10 1
0.16 0.756402127139256 5.91730979646276 0.0270393144019001 11 6.88599159633701 3 ADCY2 1
0.538 1 0.221390839485928 1 8 1.01859648227199 4 ADCY3 1
0.623 1 0.0786778673396068 1 6 -0.379877419184618 2 ADCY4 1
0.00505 0.244385775188973 3.68310071232421 0.00137112731756206 10 3.91775494175358 4 ADCY5 0.570018679245283
0.0647 1 0.0284121911228069 1 8 1.48018061966767 3 ADCY6 1
0.05 1 0.0284121911228069 1 8 1.20374865129675 3 ADCY7 0.984385569334837
0.477 0.98665884935695 5.5207154440852 0.086401844983887 11 4.90329812557548 5 ADCY8 1
0.906 1 0.37284527840381 1 9 2.98108601658916 3 ADCY9 1
0.144 1 0.385724781771319 0.373323174463216 9 2.23065607155218 5 ADCYAP1 1
1 1 6.42527294603216 0.155635411662556 11 6.57434437978416 1 ADCYAP1R1 1
0.48 0.995310081514928 5.1236008176401 0.0936841133968521 11 5.50736904167303 4 ADD1 1
0.701 1 5.91730979646276 0.118465996223325 11 4.98933492742585 3 ADD2 1
1 1 5.5207154440852 0.181135943362446 11 4.95862471250489 5 ADD3 1
1 1 0.272729416610176 1 4 -1.43221335463775 3 ADGB 1
1 1 0.410939709841525 1 9 2.2293486514612 2 ADGRA1 1
0.186 1 0.370418080332222 0.502135316486656 9 1.88743701705528 1 ADGRA2 1
0.757 1 0.167031115853511 1 6 0.0908239476945699 1 ADGRA3 1
0.959 1 0.221390839485928 1 7 0.0908239476945699 4 ADGRB1 1
0.494 1 0.385724781771319 1 9 2.82132647036538 5 ADGRB2 1
0.053 0.53613298311428 6.42527294603216 0.00824867681811547 11 5.38734882241815 1 ADGRB3 0.998419914346895
0.776 1 0.0761414942905123 1 7 0.338324849481083 1 ADGRD1 1
0.593 1 0.221390839485928 1 6 -0.381926728254245 4 ADGRD2 1
0.625 1 0.385724781771319 1 5 -0.541330970760519 5 ADGRE1 1
0.648 1 0.221390839485928 1 6 -0.0134853395390602 4 ADGRE2 1
0.422 1 0.40332971521484 1 5 -0.967871560415969 2 ADGRE3 1
0.482 1 0.242378328860233 1 7 0.484534407124151 2 ADGRE5 1
0.779 1 0.365940736211137 1 5 -1.06216290297277 3 ADGRF1 1
0.159 1 0.0766404183385558 1 7 0.185399401918113 3 ADGRF2 1
0.329 1 0.40332971521484 0.815709796697605 5 -0.716206280766392 2 ADGRF3 1
0.608 1 0.272729416610176 1 4 -1.44275125755714 3 ADGRF4 1
0.471 1 0.375356525345088 1 9 1.97399813828872 4 ADGRF5 1
0.53 1 0.385724781771319 1 7 0.0908239476945699 5 ADGRG1 1
1 1 0.385724781771319 1 5 -0.847038024426406 5 ADGRG2 1
0.758 1 0.221390839485928 1 6 0.0908239476945699 4 ADGRG3 1
0.536 1 0.40332971521484 1 5 -1.37213486989273 2 ADGRG4 1
0.177 1 0.169605541081847 1 5 -0.580075345118495 4 ADGRG5 1
0.905 1 0.0766404183385558 1 7 0.431809697949065 3 ADGRG6 1
0.156 1 0.363558486252013 0.429091895524792 5 -1.07600064926705 1 ADGRG7 1
0.00453 0.203028562940402 4.82193052456063 0.000939457749738685 10 3.94021876901124 2 ADGRL1 0.562283829787234
0.62 1 5.91730979646276 0.104777343307363 11 4.7358999205569 3 ADGRL2 1
0.416 0.919773823343727 6.42527294603216 0.0647443312516233 11 5.45033484304722 1 ADGRL3 1
0.572 1 0.385724781771319 1 8 1.0631685123991 5 ADGRL4 1
0.115 0.762607094466737 4.07367989367099 0.0282300040753492 10 3.47638218359432 3 ADGRV1 1
0.232 1 0.201957859135383 1 1 -5.58665854749555 3 ADH1A 1
0.818 1 0 1 3 -2.6312799640159 1 ADH1B 1
0.489 1 0.0287657796889068 1 1 -5.68720893981371 2 ADH4 1
0.168 1 0.221390839485928 0.758838985344189 6 -0.284445594741212 4 ADH5 1
1 1 0.200643126846621 1 1 -4.93054781417444 1 ADH6 1
1 1 0.212876412581341 1 1 -5.83637235472171 5 ADH7 1
0.23 1 0.385724781771319 0.596280070323193 8 1.52758261130997 5 ADHFE1 1
0.694 1 0.272729416610176 1 4 -1.41678069214906 3 ADI1 1
0.933 1 0.0213350353753258 1 2 -3.74431247334853 3 ADIPOQ 1
0.38 1 0.167031115853511 1 6 -0.213639440995471 1 ADIPOR1 1
0.085 1 0.375356525345088 0.226451371590928 9 2.214730899631 4 ADIPOR2 1
1 1 0.242378328860233 1 7 0.170517493266395 2 ADIRF 1
0.208 1 0.385724781771319 0.539244585335757 9 2.17132798494887 5 ADK 1
0.499 1 0.385724781771319 1 8 1.10909967852161 5 ADM 1
